"id","first_name","middle_name","lastname","coauthor_lastnames","topics","cities","countries","orcid"
11,"s",NA,"alavizadeh","[""keshtkar"",""panahi"",""aghaei meybodi"",""qorbani"",""rahdari"",""khashayar"",""mohajeri tehrani"",""rostamian""]","[""Calcium"",""Logistic Models"",""Male"",""Osteoporosis"",""Prevalence"",""Bone Density"",""Spinal Cord Injuries"",""Humans"",""Iran"",""Multivariate Analysis"",""Middle Aged"",""Blood Chemical Analysis"",""Age Factors"",""Cross-Sectional Studies"",""Body Mass Index"",""Paraplegia""]","[{""identifier"":112931,""name"":""Tehran""}]","[{""identifier"":130758,""name"":""Iran""}]",NA
12,"david","s","alberts","[""chen"",""guillen rodríguez"",""martínez"",""marshall"",""stini"",""roe"",""jeter"",""benham hutchins"",""hess""]","[""Aging"",""Double-Blind Method"",""Time Factors"",""Forearm"",""Humans"",""Adult"",""Middle Aged"",""Aged"",""Bone Density"",""Osteoporosis"",""Absorptiometry, Photon"",""Aged, 80 and over"",""Dietary Fiber"",""Dietary Supplements"",""Male"",""Female"",""Diphosphonates"",""Tooth Diseases"",""Comorbidity"",""Jaw Diseases"",""Oral Surgical Procedures"",""Osteonecrosis"",""Osteitis Deformans"",""Risk Factors"",""Neoplasms"",""Dental Prophylaxis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":6252001,""name"":""United States""}]",NA
13,"g",NA,"aldrovandi","[""brown"",""santana"",""cardoso"",""huang"",""overton"",""yin"",""shane"",""tebas"",""mccomsey""]","[""Incidence"",""Fractures, Bone"",""Risk Assessment"",""Middle Aged"",""Aged"",""Aged, 80 and over"",""Humans"",""HIV Infections"",""Bone Density"",""Anti-HIV Agents"",""Female"",""Male"",""Bone Diseases""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",559803
14,"d","lee","alekel","[""stewart"",""hanson"",""germain"",""peterson"",""toda"",""ho"",""messina"",""koehler"",""van loan"",""genschel"",""shedd"",""reddy"",""bhupathiraju"",""schiferl"",""kurzer"",""hofmann"",""shedd wise"",""ronis"",""ward"",""weaver"",""beer""]","[""Biomarkers"",""Bone and Bones"",""Osteoporosis"",""Female"",""Premenopause"",""Patient Compliance"",""Humans"",""Adult"",""Lumbar Vertebrae"",""Middle Aged"",""Diet"",""Isoflavones"",""Soybean Proteins"",""Osteoporosis, Postmenopausal"",""Double-Blind Method"",""Age Factors"",""Food, Organic"",""Bone Density"",""Dose-Response Relationship, Drug"",""Soybeans"",""Postmenopause"",""Blood Glucose"",""Homocysteine"",""Placebos"",""Aged"",""C-Reactive Protein"",""Research Design"",""Hemoglobins"",""Uric Acid"",""Regression Analysis"",""Models, Biological"",""Cross-Sectional Studies"",""Surveys and Questionnaires"",""Physical Exertion"",""Leisure Activities"",""Calcium"",""Cholecalciferol"",""California"",""Tablets"",""Iowa"",""Patient Selection"",""Life Style"",""Tomography, X-Ray Computed"",""Tibia"",""Phytoestrogens"",""Femur"",""Body Weights and Measures"",""Phytotherapy"",""Plant Extracts"",""Treatment Outcome"",""Bone Resorption"",""Osteoclasts"",""Osteogenesis"",""Osteoblasts"",""Signal Transduction"",""Anti-Inflammatory Agents"",""Flavonoids"",""Estrogens"",""Thyrotropin"",""Estradiol"",""Sex Hormone-Binding Globulin"",""Intention to Treat Analysis"",""Estrone"",""Endometrium"",""Ultrasonography""]","[{""identifier"":4846834,""name"":""Ames""},{""identifier"":4328676,""name"":""Iowa""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
15,"roberta",NA,"hsu","[""tripepi"",""mallamaci"",""zoccali"",""panuccio"",""enia""]","[""Female"",""Male"",""Prevalence"",""Risk Factors"",""Italy"",""Fractures, Bone"",""Renal Insufficiency, Chronic"",""Cytokines"",""Risk Assessment"",""Middle Aged"",""Causality"",""Comorbidity"",""Inflammation"",""Humans""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
16,"c",NA,"alitz","[""giuliani"",""masini"",""owens"",""holcomb"",""mchenry"",""simmons""]","[""Shoes"",""Young Adult"",""Fractures, Stress"",""Running"",""Metatarsal Bones"",""Humans"",""Foot Injuries"",""Adult"",""Forefoot, Human"",""Biomechanical Phenomena"",""Radiography"",""Male"",""Leg Injuries"",""Mobile Health Units"",""Fractures, Open"",""Military Medicine"",""External Fixators"",""Casts, Surgical"",""United States""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
17,"yannick",NA,"allanore","[""marques pinheiro"",""abifadel"",""varret"",""boileau"",""bonneau"",""cormier"",""levasseur"",""avouac"",""toth"",""meunier"",""maury"",""kahan"",""koumakis""]","[""LDL-Receptor Related Proteins"",""Fractures, Bone"",""Sequence Analysis, DNA"",""Young Adult"",""Humans"",""Osteoporosis"",""Syndrome"",""Frameshift Mutation"",""Bone Density"",""Low Density Lipoprotein Receptor-Related Protein-5"",""Blindness"",""Male"",""Statistics, Nonparametric"",""Scleroderma, Systemic"",""Middle Aged"",""Cross-Sectional Studies"",""Age Factors"",""Vitamin D"",""Osteoporotic Fractures"",""Risk Factors"",""Cohort Studies"",""Aged"",""Vitamin D Deficiency"",""Case-Control Studies"",""Female"",""Reference Values"",""Arthritis, Rheumatoid"",""Matched-Pair Analysis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
18,"kyle","r","allen","[""kauh"",""hua"",""polak"",""hazelett"",""gerson"",""blanda"",""wilber"",""roberts"",""barakzai"",""courouce malblanc"",""dixon"",""franklin"",""nankervis"",""perkins"",""vanerck westergren"",""duncan"",""dziura"",""teague"",""lavietes"",""banyas"",""stoessel"",""leventhal"",""ogle"",""bechtel"",""imel"",""hui"",""weaver"",""de papp"",""liu"",""li"",""martin"",""gailey"",""castles"",""kucharik"",""roeder""]","[""Survival Rate"",""Aged, 80 and over"",""Continuity of Patient Care"",""Rehabilitation Centers"",""Fractures, Bone"",""Aftercare"",""Skilled Nursing Facilities"",""Middle Aged"",""Humans"",""Pilot Projects"",""Male"",""Age Factors"",""Patient Discharge"",""Sex Factors"",""Recovery of Function"",""Retrospective Studies"",""Risk Assessment"",""Aged"",""Length of Stay"",""Patient Readmission"",""Activities of Daily Living"",""Geriatric Assessment"",""Female"",""Predictive Value of Tests"",""Logistic Models"",""Surveys and Questionnaires"",""Hospitals, Teaching"",""Wounds, Nonpenetrating"",""Longitudinal Studies"",""Prospective Studies"",""Mental Status Schedule"",""Emergency Service, Hospital"",""Treatment Outcome"",""Comorbidity"",""Physical Conditioning, Animal"",""Horses"",""Muscular Diseases"",""Lameness, Animal"",""Exercise Test"",""Animals"",""Horse Diseases"",""Skull Fractures"",""Diagnosis, Differential"",""Infant"",""Accidents"",""Seizures"",""Craniocerebral Trauma"",""Retinal Hemorrhage"",""Radiography"",""Child Abuse"",""Brain Injuries"",""Subarachnoid Hemorrhage"",""Osteoporosis"",""Bone Density"",""Osteoporotic Fractures"",""Bone Density Conservation Agents"",""Drug Utilization"",""Healthcare Disparities"",""Indiana"",""Amputees"",""Osteoarthritis"",""Biomechanical Phenomena"",""Leg Length Inequality"",""Back Pain"",""Artificial Limbs"",""Leg"",""Joint Diseases"",""Quality of Life"",""Bone Diseases, Metabolic"",""Amputation""]","[{""identifier"":4259418,""name"":""Indianapolis""}]","[{""identifier"":6252001,""name"":""United States""}]",238516
19,"john",NA,"lin","[""pollack"",""feuerman"",""yeh"",""talwar"",""swedler"",""li ng"",""arunabh talwar"",""islam"",""mikhail"",""shieh"",""dhaliwal"",""abrams"",""fazzari"",""ragolia""]","[""Osteoporosis, Postmenopausal"",""Humans"",""Dose-Response Relationship, Drug"",""Linear Models"",""Longitudinal Studies"",""Vitamin D"",""Middle Aged"",""African Americans"",""Calcium, Dietary"",""Meta-Analysis as Topic"",""Postmenopause"",""Health Status"",""Female"",""Nutritional Status"",""Parathyroid Hormone"",""Cross-Sectional Studies"",""New York"",""Child"",""Adolescent"",""Vitamin D Deficiency"",""Risk Factors"",""Bone Density"",""Adolescent Nutritional Physiological Phenomena"",""Osteoporosis"",""Suburban Population"",""Nutrition Assessment"",""Treatment Outcome"",""Cholecalciferol"",""Dietary Supplements"",""Hydroxymethylglutaryl-CoA Reductase Inhibitors"",""Collagen Type I"",""Radius"",""Absorptiometry, Photon"",""Bone Density Conservation Agents"",""Aged"",""Bone Remodeling"",""Osteocalcin"",""Peptides"",""Calcium"",""Biomarkers"",""Femur"",""Skin Pigmentation"",""Accidental Falls"",""Fractures, Bone"",""Bone and Bones"",""Procollagen"",""Vitamins"",""Placebos"",""Peptide Fragments"",""Osteomalacia"",""Calcium Isotopes"",""Nutritional Requirements"",""Seasons"",""Follow-Up Studies"",""Intestinal Absorption"",""Calcifediol"",""Double-Blind Method""]","[{""identifier"":5127134,""name"":""Mineola""},{""identifier"":4699066,""name"":""Houston""},{""identifier"":5128581,""name"":""New York City""}]","[{""identifier"":6252001,""name"":""United States""}]",287914
20,"m","k","altman","[""wronski"",""borst"",""franz"",""yarrow"",""conover"",""conrad"",""zheng"",""bhakta"",""purandare""]","[""Osteocalcin"",""Rats, Inbred F344"",""Femur"",""Kidney"",""Organ Size"",""Muscle, Skeletal"",""Female"",""Orchiectomy"",""Osteoporosis"",""Bone and Bones"",""Testosterone"",""Tibia"",""Dihydrotestosterone"",""Animals"",""Tensile Strength"",""Estradiol"",""Body Weight"",""Androgens"",""Male"",""Amino Acids"",""Ovariectomy"",""Creatinine"",""Rats""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
21,"a",NA,"amin","[""el azm"",""al zeky"",""saifuddin"",""curry"",""nawabi"",""kang"",""singh"",""briggs"",""etherington"",""casey"",""arora"",""walton"",""rajaesparan"",""bergman"",""robinson"",""white"",""murray"",""godley"",""nielsen"",""dawson bowling"",""al nammari""]","[""Male"",""Vacuum Extraction, Obstetrical"",""Diseases in Twins"",""Humans"",""Infant, Newborn"",""Skull Fractures"",""Treatment Outcome"",""Adult"",""Female"",""Thoracic Vertebrae"",""Joint Dislocations"",""Spinal Fractures"",""Intervertebral Disc Displacement"",""Practice Guidelines as Topic"",""Cervical Vertebrae"",""Aged"",""Middle Aged"",""Retrospective Studies"",""Practice Patterns, Physicians'"",""Fracture Fixation, Internal"",""Child"",""Bone Nails"",""Radius Fractures"",""Diaphyses"",""Radionuclide Imaging"",""Radiography"",""Tibia"",""Crutches"",""Amputation"",""Osteosarcoma"",""Fractures, Stress"",""Ulna Fractures"",""Magnetic Resonance Imaging"",""Bone Neoplasms"",""Epilepsy, Frontal Lobe"",""Anticonvulsants"",""Kyphosis"",""Spinal Fusion"",""Phenytoin"",""Muscle Weakness"",""Posture"",""Chronic Disease"",""Neck Muscles"",""Femoral Fractures"",""Hematoma"",""Fracture Fixation, Intramedullary"",""Postoperative Complications"",""Hip Prosthesis"",""Aged, 80 and over"",""Femoral Artery"",""Aneurysm, False"",""Femur"",""Prosthesis Failure"",""Time Factors"",""Prognosis"",""Prospective Studies"",""Arthroplasty, Replacement, Hip"",""Reoperation"",""Fracture Healing"",""Case-Control Studies"",""Osteoarthritis, Hip"",""Risk Factors"",""Follow-Up Studies"",""Range of Motion, Articular"",""Fractures, Ununited"",""Bone Plates"",""Shoulder Fractures"",""Ankle Fractures"",""Geriatric Assessment"",""Risk Assessment"",""Survival Rate"",""Cohort Studies"",""Osteoporotic Fractures"",""Frail Elderly"",""Ankle Injuries"",""Arthroplasty, Replacement"",""Humeral Head"",""Fracture Fixation"",""Decision Making""]","[{""identifier"":107968,""name"":""Ta’if""},{""identifier"":2643743,""name"":""London""},{""identifier"":2637063,""name"":""Stanmore""}]","[{""identifier"":102358,""name"":""Saudi Arabia""},{""identifier"":2635167,""name"":""United Kingdom""}]",NA
22,"a","k","amstrup","[""rejnmark"",""mosekilde"",""vestergaard"",""heickendorff"",""sikjaer"",""moser"",""jakobsen""]","[""Osteoporosis"",""Female"",""Male"",""Severity of Illness Index"",""Comorbidity"",""Adult"",""Aged, 80 and over"",""Hyperparathyroidism"",""Young Adult"",""Adolescent"",""Humans"",""Aged"",""Smoking"",""Cross-Sectional Studies"",""Middle Aged"",""Bone Resorption"",""Disease Models, Animal"",""Scoliosis"",""Melatonin"",""Osteogenesis"",""Bone Density Conservation Agents"",""Oxidative Stress"",""Animals"",""Bone and Bones"",""Circadian Rhythm"",""Absorptiometry, Photon"",""Tomography, X-Ray Computed"",""Bone Density"",""Postmenopause"",""Sleep"",""Double-Blind Method"",""Quality of Life"",""Osteoporosis, Postmenopausal"",""Postural Balance"",""Surveys and Questionnaires"",""Motor Activity"",""Dose-Response Relationship, Drug"",""Muscle Strength"",""Blood Pressure"",""Body Mass Index""]","[{""identifier"":2624652,""name"":""Århus""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
23,"athanasios",NA,"anastasilakis","[""goulis"",""avramidis"",""kita"",""slavakis"",""koukoulis"",""polyzos"",""gerou"",""pavlidou"",""efstathiadou"",""hadji"",""fraser"",""nickelsen"",""boonen"",""audran"",""barker"",""marin"",""mccloskey"",""farrerons"",""obermayer pietsch"",""ballaouri"",""terpos"",""papatheodorou"",""toulis"",""giomisi"",""delaroudis"",""georgopoulos"",""savvides"",""woloszczuk"",""bratengeier"",""sakellariou"",""bisbinas"",""makras"",""papapoulos"",""karathanasi"",""tarride"",""xie"",""hopkins"",""goeree"",""von keyserlingk"",""voskaridou"",""plata"",""christoulas"",""komninaka"",""kaliontzi"",""dimopoulou"",""gkotzamanidou"",""gkiomisi"",""papadopoulou"",""chatzifotiadis"",""kokkoris"",""mantzoros"",""filippaios"",""katsarou"",""savvidis"",""kyriopoulos"",""lyritis"",""athanasakis"",""boubouchairopoulou"",""rizou"",""digkas"",""saridakis"",""yavropoulou"",""tsalikakis"",""yovos"",""grammatiki""]","[""Blood Glucose"",""Insulin"",""Osteoporosis, Postmenopausal"",""Middle Aged"",""Teriparatide"",""Time Factors"",""Glucose"",""Humans"",""Glucose Tolerance Test"",""Aged"",""Bone Density Conservation Agents"",""Female"",""Etidronic Acid"",""Treatment Outcome"",""Risedronate Sodium"",""Diphosphonates"",""Administration, Oral"",""Alendronate"",""Gastrointestinal Diseases"",""Osteoprotegerin"",""Collagen Type I"",""Calcium"",""RANK Ligand"",""Biomarkers"",""Phosphorus"",""Prospective Studies"",""Bone and Bones"",""Alkaline Phosphatase"",""Bone Remodeling"",""Absorptiometry, Photon"",""Lumbar Vertebrae"",""Postmenopause"",""Bone Density"",""Osteoporosis"",""Parathyroid Hormone"",""Follow-Up Studies"",""Peptides"",""Drug Therapy, Combination"",""Organometallic Compounds"",""Dose-Response Relationship, Drug"",""Thiophenes"",""Vitamin D"",""Male"",""Reference Values"",""Thiazolidinediones"",""Hypoglycemic Agents"",""Diabetes Mellitus, Type 2"",""Confidence Intervals"",""Fractures, Bone"",""Case-Control Studies"",""Risk Assessment"",""Odds Ratio"",""Incidence"",""Greece"",""Denosumab"",""Antibodies, Monoclonal, Humanized"",""Antibodies, Monoclonal"",""Recombinant Proteins"",""Anemia"",""Drug Monitoring"",""Intercellular Signaling Peptides and Proteins"",""Bone Diseases, Metabolic"",""Opportunistic Infections"",""Genetic Markers"",""Retrospective Studies"",""Aged, 80 and over"",""Bone Morphogenetic Proteins"",""Hydroxymethylglutaryl-CoA Reductase Inhibitors"",""Imidazoles"",""Sulfonamides"",""Body Temperature"",""Severity of Illness Index"",""Acute-Phase Reaction"",""C-Reactive Protein"",""Pain Measurement"",""Pyrimidines"",""Leukocyte Count"",""Fluorobenzenes"",""Rosuvastatin Calcium"",""Back Pain"",""Bone Resorption"",""Hypothyroidism"",""Hyperparathyroidism"",""Bone Diseases"",""Animals"",""Wnt Proteins"",""Membrane Proteins"",""Signal Transduction"",""Core Binding Factor Alpha 1 Subunit"",""beta Catenin"",""Models, Biological"",""Drug Delivery Systems"",""Drugs, Investigational"",""Anabolic Agents"",""Osteoblasts"",""Endocrinology"",""Drug Approval"",""Cohort Studies"",""Young Adult"",""Up-Regulation"",""Thalassemia"",""Adult"",""Lymphocyte Count"",""Nicotinamide Phosphoribosyltransferase"",""Adipokines"",""Risk Factors"",""Cytokines"",""Insulin Resistance"",""Age Factors"",""Femur Neck"",""Activins"",""Aging"",""Cholecalciferol"",""Calcium Carbonate"",""Drug Administration Schedule"",""Vitamins"",""Creatinine"",""Osteoporotic Fractures"",""Body Mass Index"",""Fibronectins"",""beta-Arrestins"",""Drug Design"",""Parathyroid Hormone-Related Protein"",""Receptor, Parathyroid Hormone, Type 1"",""Arrestins"",""Antigens, CD"",""Nerve Tissue Proteins"",""Receptors, Cell Surface"",""Semaphorins"",""Hip Fractures"",""Sex Factors"",""Health Care Costs"",""Cost-Benefit Analysis"",""Models, Econometric"",""Drug Costs"",""Peptide Fragments"",""Procollagen"",""Selective Estrogen Receptor Modulators"",""Therapies, Investigational"",""Spinal Fractures"",""Cross-Sectional Studies"",""MicroRNAs""]","[{""identifier"":734077,""name"":""Thessaloníki""}]","[{""identifier"":390903,""name"":""Greece""}]",NA
24,"sameh",NA,"ansara","[""elgamal"",""tanagho"",""el kawy"",""moftah"",""shalaby"",""varughese""]","[""Aged, 80 and over"",""Shoulder Fractures"",""Humans"",""Female"",""Peripheral Nerve Injuries"",""Retrospective Studies"",""Aged"",""Male"",""Femur"",""Femoral Fractures"",""Fracture Fixation, Internal"",""Intraoperative Complications"",""Bone Nails"",""Postoperative Complications"",""Survival Rate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
25,"j",NA,"anzai","[""nakamura"",""kawaguchi"",""tabata"",""ikada"",""aoyama"",""hiyama"",""tamura"",""iwamoto"",""chen"",""jingushi"",""hirata""]","[""Biomarkers"",""Male"",""Ulna Fractures"",""Biomechanical Phenomena"",""Alkaline Phosphatase"",""Bone Density"",""Amino Acids"",""Humans"",""Disease Models, Animal"",""Macaca fascicularis"",""Fibroblast Growth Factor 2"",""Animals"",""Creatinine"",""Dogs"",""Fracture Healing"",""Recombinant Proteins"",""Rodentia"",""Cell Division"",""Radiography"",""Proliferating Cell Nuclear Antigen"",""Immunohistochemistry"",""Tibial Fractures"",""Osteotomy"",""Rabbits""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
26,"shotaro",NA,"arakawa","[""saito"",""kida"",""nishizawa"",""marumo"",""seki"",""okabe""]","[""Macaca fascicularis"",""Ovariectomy"",""Cross-Linking Reagents"",""Selective Estrogen Receptor Modulators"",""Animals"",""Glycosylation End Products, Advanced"",""X-Ray Microtomography"",""Osteoporosis, Postmenopausal"",""Arginine"",""Collagen"",""Disease Models, Animal"",""Female"",""Indoles"",""Bone Density"",""Humans"",""Lumbar Vertebrae"",""Lysine"",""Bone Density Conservation Agents""]","[{""identifier"":null,""name"":null}]","[{""identifier"":1861060,""name"":""Japan""}]",NA
27,"berna",NA,"arda","[""belen"",""kahya"",""aciduman"",""ozakturk"",""telatar""]","[""Medical Illustration"",""Islam"",""Humans"",""History, Medieval"",""Skull Fractures"",""Books"",""Surgery, Plastic"",""Translations"",""Neurosurgery"",""Surgical Instruments"",""Craniocerebral Trauma""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
28,"francisco",NA,"arellano","[""amato"",""luna pizarro"",""hernandez"",""lopez rojas""]","[""Patella"",""Injury Severity Score"",""Adult"",""Humans"",""Adolescent"",""Middle Aged"",""Fractures, Bone"",""Fracture Fixation, Internal"",""Male"",""Female"",""Trauma Centers"",""Bone Wires"",""Pain, Postoperative""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
