"id","first_name","middle_name","lastname","coinvestigator_lastnames","topics","cities","countries","orcid"
19,"john","f","lin","[]","[""Ergocalciferols"",""Vitamin D"",""Vitamins"",""Osteoporosis"",""Cholecalciferol"",""Calcium, Dietary""]","[{""identifier"":5127134,""name"":""Mineola""},{""identifier"":4699066,""name"":""Houston""},{""identifier"":5128581,""name"":""New York City""}]","[{""identifier"":6252001,""name"":""United States""}]",287914
20,"cap",NA,"alta","[""azagra"",""caneletes"",""del valles"",""serraparera""]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
21,"e",NA,"alvarez rodriguez","[""tonkin""]","[""Osteoporosis"",""Alendronate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
22,"anne","kristine","amstrup","[]","[""Melatonin"",""Osteoporosis"",""Bone Diseases, Metabolic""]","[{""identifier"":2624652,""name"":""Århus""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
23,"a","d","anastasilakis","[]","[""Diphosphonates"",""Osteoporosis"",""Denosumab"",""Osteoporosis, Postmenopausal""]","[{""identifier"":734077,""name"":""Thessaloníki""}]","[{""identifier"":390903,""name"":""Greece""}]",NA
24,"j","b","krause","[""blasco""]","[""Fractures, Bone"",""Spinal Fractures"",""Back Pain"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
25,"a",NA,"ankam","[]","[""Calcitonin Gene-Related Peptide"",""Calcitonin"",""Osteoporosis"",""Periodontitis"",""Chronic Periodontitis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
26,"sveta",NA,"yang","[""al"",""krause""]","[""Osteoporosis, Postmenopausal"",""Calcitonin"",""Osteoporosis"",""Calcitonin Gene-Related Peptide""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
27,"r","m","aris","[]","[""Cystic Fibrosis"",""Fibrosis"",""Osteoporosis"",""Alendronate"",""Cholecalciferol"",""Calcium Carbonate""]","[{""identifier"":4460162,""name"":""Chapel Hill""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
28,"laura",NA,"li","[]","[""Osteoporosis"",""Vitamin D"",""Diabetes Mellitus"",""Diabetes Mellitus, Type 1""]","[{""identifier"":5074472,""name"":""Omaha""},{""identifier"":1012528,""name"":""Creighton""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":953987,""name"":""South Africa""}]",NA
29,"cathy",NA,"arnold","[]","[""Osteoporosis""]","[{""identifier"":4558942,""name"":""Kennett Square""},{""identifier"":6141256,""name"":""Saskatoon""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":6252001,""name"":""United States""}]",NA
30,"hannu","t","aro","[]","[""Diphosphonates"",""Osteoarthritis"",""Osteoarthritis, Hip"",""Denosumab""]","[{""identifier"":633679,""name"":""Turku""}]","[{""identifier"":660013,""name"":""Finland""}]",57342
31,"william","s","aronstein","[]","[""Risedronate Sodium"",""Osteoporosis"",""Etidronic Acid""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
32,"rafael",NA,"azagra","[""alta"",""caneletes"",""del valles"",""serraparera""]","[""Osteoporosis""]","[{""identifier"":3128760,""name"":""Barcelona""}]","[{""identifier"":2510769,""name"":""Spain""}]",NA
33,"vanderlei",NA,"bagnato","[""paolillo""]","[]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
34,"joon","woo","bahn","[]","[""Osteoporosis"",""Androgen Antagonists"",""Androgens"",""Prostatic Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
35,"tom",NA,"zhang","[""pagani""]","[""Breast Neoplasms"",""Osteoporosis"",""Triptorelin Pamoate"",""Tamoxifen""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
36,"ccbr",NA,"ballerup","[""brazil"",""aalborg"",""riis"",""herriot""]","[""Calcitonin Gene-Related Peptide"",""Calcitonin"",""Vitamin D"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
37,"ana",NA,"balske","[""recker"",""miller"",""ste marie"",""recknor"",""woodson"",""watts"",""greenwald"",""emkey""]","[""Risedronate Sodium"",""Etidronic Acid"",""Osteoporosis, Postmenopausal"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",107452
38,"s",NA,"bañon","[""casado""]","[""Avitaminosis"",""Vitamin D Deficiency"",""Rickets"",""Vitamin D"",""Vitamins""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",839492
39,"i",NA,"hsu","[]","[""Diphosphonates"",""Osteoporosis""]","[{""identifier"":170654,""name"":""Damascus""}]","[{""identifier"":163843,""name"":""Syria""}]",NA
40,"elizabeth","l","barrett connor","[]","[""Osteoporosis"",""Sleep Apnea Syndromes"",""Neurologic Manifestations"",""Heart Diseases"",""Cardiovascular Diseases"",""Bone Diseases""]","[{""identifier"":5391811,""name"":""San Diego""},{""identifier"":5182733,""name"":""California""},{""identifier"":5363943,""name"":""La Jolla""}]","[{""identifier"":6252001,""name"":""United States""}]",29047
41,"s",NA,"chen","[]","[""Osteoporosis, Postmenopausal"",""Osteoporosis"",""Etidronic Acid"",""Risedronate Sodium""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
42,"stefan",NA,"bartels","[""omland"",""hf""]","[""Femoral Neck Fractures"",""Fractures, Bone"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
43,"manal",NA,"lin","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
44,"david","w","bates","[]","[""Osteoporosis"",""Diabetes Mellitus"",""Coronary Artery Disease"",""Hyperlipidemias"",""Coronary Disease"",""Myocardial Ischemia""]","[{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",46849
45,"william",NA,"smith","[]","[""Wounds and Injuries"",""Spinal Cord Injuries"",""Osteoporosis"",""Denosumab"",""Diphosphonates""]","[{""identifier"":5128581,""name"":""New York City""},{""identifier"":5110266,""name"":""The Bronx""}]","[{""identifier"":6252001,""name"":""United States""}]",195525
46,"gary","s","tang","[]","[""Spinal Cord Injuries""]","[{""identifier"":5380748,""name"":""Palo Alto""},{""identifier"":5398563,""name"":""Stanford""}]","[{""identifier"":6252001,""name"":""United States""}]",39642
47,"debra",NA,"bemben","[]","[""Osteoporosis""]","[{""identifier"":4543762,""name"":""Norman""}]","[{""identifier"":6252001,""name"":""United States""}]",179290
48,"r",NA,"niederle","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
49,"k",NA,"bennell","[]","[""Bone Diseases, Metabolic"",""Osteoporosis"",""Fractures, Bone"",""Spinal Fractures""]","[{""identifier"":2158177,""name"":""Melbourne""}]","[{""identifier"":2077456,""name"":""Australia""}]",NA
50,"charles",NA,"bennett","[]","[""Prostatic Neoplasms"",""Osteoporosis"",""Cholecalciferol"",""Calcium, Dietary"",""Androgens""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",453997
51,"h","j","berdine","[]","[""Osteoporosis"",""Bone Diseases, Metabolic""]","[{""identifier"":5187580,""name"":""Duquesne""}]","[{""identifier"":6252001,""name"":""United States""}]",845955
52,"anders",NA,"bergenfelz","[]","[""Hyperparathyroidism, Primary"",""Hyperparathyroidism""]","[{""identifier"":2693678,""name"":""Lund""}]","[{""identifier"":2661886,""name"":""Sweden""}]",NA
53,"astrid",NA,"bergland","[]","[""Osteoporosis"",""Spinal Fractures"",""Fractures, Bone""]","[{""identifier"":3143244,""name"":""Oslo""}]","[{""identifier"":3144096,""name"":""Norway""}]",194983
54,"i",NA,"chen","[""aebi"",""aarau"",""di bergamo"",""bern"",""vergine"",""di riferimento oncologico aviano""]","[""Tamoxifen"",""Osteoporosis"",""Breast Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
55,"i",NA,"niederle","[""buser"",""aebi"",""aarau"",""di bergamo"",""bergonie"",""vergine"",""di riferimento oncologico aviano""]","[""Osteoporosis"",""Breast Neoplasms"",""Risedronate Sodium"",""Carcinoma in Situ"",""Tamoxifen""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
56,"sarah",NA,"berry","[]","[""Calcium, Dietary"",""Calcium Carbonate"",""Osteoporosis"",""Cholecalciferol"",""Alendronate""]","[{""identifier"":4930956,""name"":""Boston""},{""identifier"":4347778,""name"":""Baltimore""},{""identifier"":4895282,""name"":""Harvard""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
57,"s","k","bhadada","[]","[""Osteoporosis, Postmenopausal"",""Osteoporosis"",""Teriparatide""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
58,"nirmala",NA,"lee","[""buffalo""]","[""Diphosphonates"",""Androgens"",""Osteoporosis"",""Prostatic Neoplasms""]","[{""identifier"":5731397,""name"":""Hines""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
59,"m",NA,"bianchi","[""cistica"",""adulti""]","[""Cystic Fibrosis"",""Fibrosis"",""Osteoporosis"",""Alendronate"",""Hyperparathyroidism, Primary"",""Hyperparathyroidism"",""Cinacalcet Hydrochloride""]","[{""identifier"":3173435,""name"":""Milano""}]","[{""identifier"":3175395,""name"":""Italy""}]",NA
60,"kremlin",NA,"bicetre","[""linglart""]","[""Syndrome"",""Osteoporosis"",""Rett Syndrome""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
61,"john",NA,"bilezikian","[]","[""Hyperparathyroidism, Primary"",""Osteoporosis"",""Bone Diseases, Metabolic"",""Hyperparathyroidism"",""Bone Diseases"",""Osteoporosis, Postmenopausal"",""Metabolic Diseases"",""Phytoestrogens"",""Hormones""]","[{""identifier"":4575352,""name"":""Columbia""},{""identifier"":4508722,""name"":""Cincinnati""},{""identifier"":5128581,""name"":""New York City""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
62,"neil","c","binkley","[]","[""Diphosphonates"",""Osteoporosis"",""Teriparatide"",""Raloxifene Hydrochloride""]","[{""identifier"":1853909,""name"":""Osaka""},{""identifier"":3094802,""name"":""Kraków""},{""identifier"":5143830,""name"":""West Haverstraw""},{""identifier"":2935022,""name"":""Dresden""},{""identifier"":3573197,""name"":""Hamilton""},{""identifier"":5261457,""name"":""Madison""}]","[{""identifier"":1861060,""name"":""Japan""},{""identifier"":798544,""name"":""Poland""},{""identifier"":6252001,""name"":""United States""},{""identifier"":2921044,""name"":""Germany""},{""identifier"":3573345,""name"":""Bermuda""}]",40445
63,"stephen",NA,"lu","[]","[""Osteoporosis"",""Aromatase Inhibitors"",""Arthralgia"",""Breast Neoplasms"",""Methyltestosterone"",""Testosterone""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
64,"h",NA,"bischoff ferrari","[]","[""Calcifediol"",""Cholecalciferol"",""Osteoporosis"",""Vitamins"",""Hydroxycholecalciferols"",""Vitamin D"",""Ergocalciferols"",""Bone Diseases, Metabolic""]","[{""identifier"":2657896,""name"":""Zürich""},{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":2658434,""name"":""Switzerland""},{""identifier"":6252001,""name"":""United States""}]",NA
65,"dennis","m","black","[]","[""Osteoporosis"",""Diphosphonates"",""Alendronate"",""Hormones""]","[{""identifier"":5391959,""name"":""San Francisco""}]","[{""identifier"":6252001,""name"":""United States""}]",29031
66,"a",NA,"fenton","[""lemoyne"",""goss""]","[""Alendronate"",""Calcium, Dietary"",""Risedronate Sodium"",""Calcium Carbonate"",""Cholecalciferol"",""Breast Neoplasms"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
67,"susan","j","blalock","[]","[""Glucocorticoids"",""Arthritis, Rheumatoid"",""Osteoporosis"",""Arthritis""]","[{""identifier"":5399020,""name"":""Stockton""},{""identifier"":4460162,""name"":""Chapel Hill""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
68,"jordi",NA,"blasco","[""andaluz""]","[""Fractures, Bone"",""Spinal Fractures"",""Back Pain"",""Osteoporosis""]","[{""identifier"":3128760,""name"":""Barcelona""}]","[{""identifier"":2510769,""name"":""Spain""}]",697686
69,"brian",NA,"boerner","[]","[""Bone Diseases, Metabolic"",""Pancreatitis, Chronic"",""Osteoporosis"",""Pancreatitis"",""Bone Diseases""]","[{""identifier"":null,""name"":null}]","[{""identifier"":6252001,""name"":""United States""}]",NA
70,"gilles",NA,"boire","[]","[""Osteoporosis"",""Fractures, Bone"",""Fibrosis"",""Diphosphonates"",""Muscular Dystrophies"",""Cystic Fibrosis""]","[{""identifier"":6146143,""name"":""Sherbrooke""}]","[{""identifier"":6251999,""name"":""Canada""}]",553717
71,"michael",NA,"schott","[""lillestol"",""garceau"",""faraawi"",""monraz"",""mease"",""rodrigues""]","[""Osteoporosis"",""Hormones"",""Osteoporosis, Postmenopausal""]","[{""identifier"":4348599,""name"":""Bethesda""},{""identifier"":458065,""name"":""Liegi""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":458258,""name"":""Latvia""}]",NA
72,"carolyn",NA,"bondy","[]","[""Turner Syndrome"",""Gonadal Dysgenesis"",""Syndrome"",""Primary Ovarian Insufficiency""]","[{""identifier"":4348599,""name"":""Bethesda""}]","[{""identifier"":6252001,""name"":""United States""}]",152230
73,"s",NA,"bonnema","[]","[""Hyperthyroidism"",""Hypothyroidism""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
74,"sarah",NA,"booth","[]","[""Vitamin K"",""Vitamin K 1"",""Osteoporosis"",""Vitamins"",""Vascular Calcification"",""Inflammation"",""Calcinosis""]","[{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
75,"simona",NA,"borstnar","[""jeras""]","[""Fractures, Bone"",""Aromatase Inhibitors"",""Breast Neoplasms"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
76,"m",NA,"botelho","[]","[""Ergocalciferols"",""Osteoporosis"",""Vitamin D"",""Vitamins""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
77,"valerie","danielle","bousson","[""idir""]","[""Osteoporosis"",""Femoral Fractures"",""Fractures, Bone"",""Hip Fractures""]","[{""identifier"":2988507,""name"":""Paris""}]","[{""identifier"":3017382,""name"":""France""}]",109079
78,"y",NA,"valimaki","[""yves""]","[""Vitamin D"",""Vitamins"",""Osteoporosis"",""Bone Diseases, Metabolic"",""Alendronate""]","[{""identifier"":2783385,""name"":""Yvoir""}]","[{""identifier"":2802361,""name"":""Belgium""}]",NA
79,"deborah","a","zhang","[]","[""Osteoporosis"",""Alendronate"",""Vitamin D"",""Ergocalciferols"",""Calcium, Dietary"",""Vitamins""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
80,"rebecca","s","boxer","[]","[""Osteoporosis""]","[{""identifier"":5419384,""name"":""Denver""}]","[{""identifier"":6252001,""name"":""United States""}]",275437
81,"d","j","brackett","[]","[""Osteoporosis"",""Inflammation""]","[{""identifier"":4544349,""name"":""Oklahoma City""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
82,"gordon",NA,"huang","[]","[""Teriparatide"",""Osteoporosis"",""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
83,"c",NA,"brazil","[""ballerup"",""aalborg"",""riis"",""herriot""]","[""Calcitonin Gene-Related Peptide"",""Calcitonin"",""Vitamin D"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
84,"g","c","brech","[]","[""Vitamins"",""Osteoporosis"",""Ergocalciferols"",""Vitamin D""]","[{""identifier"":3448439,""name"":""São Paulo""}]","[{""identifier"":3469034,""name"":""Brazil""}]",768730
85,"veronique",NA,"breuil","[]","[""Osteoporosis"",""Fractures, Bone""]","[{""identifier"":2990440,""name"":""Nice""},{""identifier"":2988507,""name"":""Paris""},{""identifier"":2638077,""name"":""Sheffield""}]","[{""identifier"":3017382,""name"":""France""},{""identifier"":2635167,""name"":""United Kingdom""}]",NA
86,"elizabeth",NA,"brink","[]","[""Osteoporosis"",""Phytoestrogens""]","[{""identifier"":2743977,""name"":""Zeist""}]","[{""identifier"":2750405,""name"":""Netherlands""}]",370049
87,"louise","a","brinton","[]","[""Endometrial Neoplasms""]","[{""identifier"":4367175,""name"":""Rockville""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
88,"k",NA,"briot","[]","[""Fractures, Bone""]","[{""identifier"":2988507,""name"":""Paris""}]","[{""identifier"":3017382,""name"":""France""}]",NA
89,"kim",NA,"fenton","[]","[""Osteoporosis""]","[{""identifier"":2615876,""name"":""Odense""}]","[{""identifier"":2623032,""name"":""Denmark""}]",41839
90,"allan","l","brook","[]","[""Fractures, Compression""]","[{""identifier"":5110266,""name"":""The Bronx""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
91,"jacques","p","brown","[]","[""Osteoporosis, Postmenopausal"",""Calcium, Dietary"",""Osteoporosis""]","[{""identifier"":6325494,""name"":""Québec""},{""identifier"":2643743,""name"":""London""},{""identifier"":2638077,""name"":""Sheffield""},{""identifier"":4347778,""name"":""Baltimore""},{""identifier"":2158177,""name"":""Melbourne""},{""identifier"":4930956,""name"":""Boston""},{""identifier"":4671654,""name"":""Austin""},{""identifier"":2153770,""name"":""Parkville""},{""identifier"":5809844,""name"":""Seattle""},{""identifier"":2644688,""name"":""Leeds""},{""identifier"":5391959,""name"":""San Francisco""},{""identifier"":2759794,""name"":""Amsterdam""},{""identifier"":5134086,""name"":""Rochester""},{""identifier"":3369157,""name"":""Cape Town""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":2635167,""name"":""United Kingdom""},{""identifier"":6252001,""name"":""United States""},{""identifier"":2077456,""name"":""Australia""},{""identifier"":2750405,""name"":""Netherlands""},{""identifier"":953987,""name"":""South Africa""}]",NA
92,"v",NA,"buffalo","[""bhoopalam""]","[""Diphosphonates"",""Androgens"",""Osteoporosis"",""Prostatic Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
93,"c",NA,"zhang","[""mc""]","[""Osteoporosis"",""Progesterone"",""Medroxyprogesterone"",""Estradiol"",""Medroxyprogesterone Acetate""]","[{""identifier"":2747891,""name"":""Rotterdam""}]","[{""identifier"":2750405,""name"":""Netherlands""}]",NA
94,"t",NA,"burke","[]","[""Osteoporosis""]","[{""identifier"":3448439,""name"":""São Paulo""}]","[{""identifier"":3469034,""name"":""Brazil""}]",540289
95,"jon","m","burnham","[]","[""Lupus Erythematosus, Systemic"",""Osteoporosis"",""Arthritis"",""Arthritis, Juvenile""]","[{""identifier"":4560349,""name"":""Philadelphia""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
96,"l","j","shin","[]","[""Myelodysplastic Syndromes"",""Preleukemia"",""Vitamin D"",""Diphosphonates"",""Calcium Carbonate"",""Osteoporosis"",""Calcium, Dietary"",""Vitamins"",""Cholecalciferol""]","[{""identifier"":null,""name"":null}]","[{""identifier"":6252001,""name"":""United States""}]",NA
97,"katharina",NA,"song","[""bern""]","[""Osteoporosis"",""Breast Neoplasms"",""Risedronate Sodium"",""Carcinoma in Situ""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
98,"f",NA,"buttgereit","[]","[""Glucocorticoids"",""Methylprednisolone"",""Psoriasis"",""Collagen Diseases"",""Rheumatic Diseases"",""Osteoporosis""]","[{""identifier"":2950159,""name"":""Berlin""}]","[{""identifier"":2921044,""name"":""Germany""}]",NA
99,"j",NA,"buyon","[]","[""Lupus Erythematosus, Systemic"",""Estrogens"",""Hormones"",""Medroxyprogesterone Acetate"",""Estrogens, Conjugated (USP)""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
100,"maria",NA,"cabanillas","[]","[""Precursor Cell Lymphoblastic Leukemia-Lymphoma"",""Leukemia"",""Lymphoma"",""Calcium, Dietary"",""Vitamins"",""Etidronic Acid"",""Vitamin D"",""Ergocalciferols"",""Risedronate Sodium""]","[{""identifier"":4699066,""name"":""Houston""},{""identifier"":3119841,""name"":""A Coruña""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":2510769,""name"":""Spain""}]",336535
101,"g","c","cheung","[]","[""Osteoporotic Fractures"",""Osteonecrosis"",""Fractures, Bone"",""Osteoporosis"",""Fractures, Stress""]","[{""identifier"":3467865,""name"":""Campinas""}]","[{""identifier"":3469034,""name"":""Brazil""}]",NA
102,"francis",NA,"campus","[""alberts"",""st. louis cape girardeau"",""pratt"",""disaia""]","[""Ovarian Neoplasms"",""Osteoporosis"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
103,"carmen",NA,"candela","[]","[""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
104,"cap",NA,"caneletes","[""azagra"",""alta"",""del valles"",""serraparera""]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
105,"antonio",NA,"cano","[""sanchez""]","[""Osteoporosis, Postmenopausal"",""Osteoporosis"",""Raloxifene Hydrochloride""]","[{""identifier"":2509954,""name"":""Valencia""},{""identifier"":3625549,""name"":""Valencia""}]","[{""identifier"":2510769,""name"":""Spain""},{""identifier"":3625428,""name"":""Venezuela""}]",NA
106,"azienda","ospedaliera","harris","[""der isar der tu muenchen"",""friederikenstift"",""rikli"",""triemli"",""winterthur""]","[""Fractures, Bone"",""Radius Fractures""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
107,"hadassah",NA,"carem","[""davidson""]","[""Osteoporosis"",""Calcium, Dietary"",""Analgesics"",""Calcium Carbonate"",""Spinal Fractures""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
108,"d",NA,"carli","[]","[""Fractures, Bone"",""Spinal Fractures"",""Lidocaine"",""Osteoporosis"",""Bupivacaine"",""Polymethyl Methacrylate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
109,"a","d","carr","[]","[""Raltegravir Potassium"",""Bone Diseases, Metabolic"",""HIV Infections"",""Osteoporosis"",""Tenofovir""]","[{""identifier"":2147714,""name"":""Sydney""},{""identifier"":2641170,""name"":""Nottingham""}]","[{""identifier"":2077456,""name"":""Australia""},{""identifier"":2635167,""name"":""United Kingdom""}]",460368
110,"l",NA,"carr","[""klotz""]","[""Alendronate"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
